Pushed Structure Data | ID: 553de81a-848d-4c89-9917-dcb6e60a1900 | Key: ETHUSDT
 Pushed Structure Data | ID: 2f6df53e-4531-481f-8252-cae16d6aea54 | Key: ETHUSDT
 Pushed Structure Data | ID: b6948fc8-a13f-4c41-a136-60108be1d22d | Key: ETHUSDT
 Pushed Structure Data | ID: c545e7ce-0fd4-45d9-b3dc-402f3b198b2f | Key: ETHUSDT
 Pushed Structure Data | ID: 4273cf66-f6bc-4654-a101-ff8bae8458fd | Key: ETHUSDT
 Pushed Structure Data | ID: 234d90d6-7d95-4c6f-870f-3ee7f7c8de65 | Key: ETHUSDT
 Pushed Structure Data | ID: f243ea30-c7c6-4c04-a4da-92f57c2133a1 | Key: BTCUSDT
 Pushed Structure Data | ID: 7ebec87b-af12-42ba-aa7d-63cec03921c4 | Key: BTCUSDT
 Pushed Structure Data | ID: 652ec6c3-2661-4eb0-81e9-15137bf74eb4 | Key: BTCUSDT
 Pushed Structure Data | ID: 1993f7f7-05b1-4de2-a26d-4ff0913bee2e | Key: BTCUSDT
 Pushed Structure Data | ID: a333b28f-1542-4510-8d30-65ad754e94da | Key: BTCUSDT
 Pushed Structure Data | ID: 385539be-045c-45ad-a3ee-e7371960aeea | Key: BTCUSDT
 Pushed Structure Data | ID: 9f3a8fc5-fe55-4b15-b8c7-10b7db22e4c1 | Key: BTCUSDT
 Pushed Structure Data | ID: 831a4fe9-58de-42bb-92f8-c6aa0dabf1ec | Key: BTCUSDT
 Pushed Structure Data | ID: 58f35950-7d3d-4b57-904a-b69e67bb9601 | Key: BTCUSDT
 Pushed Structure Data | ID: 0c2d2b0f-96c4-467f-807b-2a975e2e11f2 | Key: BTCUSDT
 Pushed Structure Data | ID: 94924165-bd86-41fa-bed7-361c5f5b773e | Key: ETHUSDT
 Pushed Structure Data | ID: cb4abe9e-ea12-456c-a2f5-cd841788084d | Key: BTCUSDT
 Pushed Structure Data | ID: 6f4f6187-51cf-4f75-aaca-9b9f273f2cbf | Key: BTCUSDT
 Pushed Structure Data | ID: 043b7337-ebb2-4c6c-9cd7-8ad94592abbc | Key: BTCUSDT
 Pushed Structure Data | ID: ee8f7cb3-b241-4d19-9c68-e09c5667a533 | Key: BTCUSDT
 Pushed Structure Data | ID: 3db8f5de-1e67-487b-839d-c36ae415f686 | Key: BTCUSDT
 Pushed Structure Data | ID: 4906a5a4-8e3e-40a1-85aa-2cfadf72a81b | Key: ETHUSDT
 Pushed Structure Data | ID: 4be24720-f3b9-4f35-b33c-f8dda5ea59da | Key: BTCUSDT
 Pushed Structure Data | ID: a2e204f6-37cf-47e1-b0d0-e6941b1bc0ff | Key: BTCUSDT
 Pushed Structure Data | ID: c161f227-9437-4278-9c5e-f65c0d153b3f | Key: BTCUSDT
 Pushed Structure Data | ID: 9fa7f804-695e-4596-9656-94b527c9b1ef | Key: BTCUSDT
 Pushed Structure Data | ID: 2a33a6dc-ddea-404c-8c5b-86067e1ec9c4 | Key: BTCUSDT
 Pushed Structure Data | ID: b49be228-4bc9-41e7-9b71-bc43dfcb4c3d | Key: BTCUSDT
 Pushed Structure Data | ID: be879b01-ad9e-4394-ae9c-439cf78aeeda | Key: BTCUSDT
 Pushed Structure Data | ID: 0a83d07d-9d9c-4af4-a965-0e82ea57dcf5 | Key: BTCUSDT
 Pushed Structure Data | ID: b7c698d5-c51c-43df-9f23-dcccbe48417d | Key: BTCUSDT
 Pushed Structure Data | ID: d4217f61-402a-449c-b0b4-2c63dfb1dc3d | Key: BTCUSDT
 Pushed Structure Data | ID: 8eb822a2-f6e9-4992-bbff-252a0b7b98b0 | Key: BTCUSDT
 Pushed Structure Data | ID: 2cf70c6f-b5f9-464a-917e-4e74d82655aa | Key: BTCUSDT
 Pushed Structure Data | ID: 366ef0f6-98cb-43b8-b6ad-96eacb2e3a57 | Key: ETHUSDT
 Pushed Structure Data | ID: f1d48bf3-972d-4d73-9010-ca8bf06890e6 | Key: BTCUSDT
 Pushed Structure Data | ID: 14ba0dcc-1bab-42af-ab2c-60b739b41970 | Key: BTCUSDT
 Pushed Structure Data | ID: 26788fad-da6d-40b2-a815-767ac560dcda | Key: BTCUSDT
 Pushed Structure Data | ID: 53d7b63f-6c23-4f4c-a7a2-3328a35c25ff | Key: BTCUSDT
 Pushed Structure Data | ID: 34a0db51-358d-4c68-b243-7b002cd8c5ae | Key: BTCUSDT
 Pushed Structure Data | ID: ca13e27e-2d18-447e-aebb-debf9bfde6c4 | Key: ETHUSDT
 Pushed Structure Data | ID: c8ea4eec-16a2-421d-87b0-2c7bb646fd62 | Key: ETHUSDT
 Pushed Structure Data | ID: 6f210e8a-1390-434f-8a9e-308ef30b7861 | Key: BTCUSDT
 Pushed Structure Data | ID: eea22dc3-e327-41c9-aee9-32223331e658 | Key: BTCUSDT
 Pushed Structure Data | ID: 591a62f7-5469-4363-a595-1da70414e160 | Key: ETHUSDT
